order_id,customer_name,product,quantity,unit_price,order_date,region
1.0,Linda,Isuzu,,19410.0,12/25/2023,Tanzania
,Lynda,Lexus,2.0,,6/13/2023,Tanzania
,Emlyn,Chevrolet,10.0,20045.0,8/17/2023,Kenya
4.0,Sheila,Volvo,,,2/26/2023,
,Elbert,Dodge,2.0,24052.0,4/11/2023,Uganda
,Krista,Toyota,17.0,14875.0,7/14/2023,Tanzania
7.0,Eric,Toyota,16.0,12459.0,1/18/2023,Tanzania
,Peri,Oldsmobile,8.0,25149.0,4/4/2023,Tanzania
9.0,Lawry,,,,7/6/2023,Tanzania
,Shaw,Ford,2.0,,4/18/2023,
11.0,Clement,,7.0,27363.0,10/2/2023,Tanzania
12.0,Kippie,Mercedes-Benz,14.0,13158.0,1/24/2023,Kenya
,Ina,,14.0,25793.0,8/30/2023,Tanzania
14.0,Malina,Toyota,,13235.0,10/24/2023,
15.0,Jarrett,Buick,17.0,26346.0,7/16/2023,Kenya
16.0,Joyous,,8.0,10407.0,8/31/2023,Kenya
,Alfy,Toyota,,17817.0,9/9/2023,Tanzania
,Camile,Mitsubishi,,23233.0,12/13/2023,Tanzania
,Aurie,,,25899.0,11/29/2023,Tanzania
20.0,Florian,Mercedes-Benz,,25424.0,9/13/2023,Tanzania
,Sheryl,Jeep,14.0,25117.0,6/5/2023,
22.0,Sorcha,Dodge,,16999.0,10/27/2023,
,Burk,,10.0,11484.0,5/9/2023,Tanzania
,Ahmed,Dodge,7.0,19030.0,8/25/2023,Uganda
25.0,Livy,Subaru,12.0,20193.0,7/19/2023,Tanzania
,Bree,,,,9/9/2023,Kenya
27.0,Ardella,BMW,,19470.0,6/6/2023,Uganda
28.0,Catharina,Dodge,13.0,29332.0,1/26/2023,
29.0,Emlen,Land Rover,,10872.0,9/7/2023,
30.0,Sofie,Jeep,,19849.0,1/22/2023,Tanzania
31.0,Leonardo,Mitsubishi,,11703.0,9/12/2023,Kenya
32.0,Clayton,Jeep,18.0,27187.0,9/2/2023,
33.0,Constantin,GMC,7.0,23080.0,9/12/2023,Uganda
34.0,Goldina,,,10438.0,3/19/2023,Kenya
,Cart,Subaru,11.0,24559.0,1/6/2023,Kenya
36.0,Adriane,Nissan,16.0,19278.0,6/14/2023,Uganda
,Udale,,8.0,26073.0,11/16/2023,Uganda
38.0,Hube,Audi,8.0,10687.0,9/21/2023,Tanzania
,Mort,Hummer,14.0,25367.0,10/30/2023,
,Klaus,Isuzu,18.0,10275.0,6/11/2023,Uganda
,Magdalene,Mercury,,,9/18/2023,Tanzania
42.0,Sanson,Chevrolet,,22517.0,11/28/2023,
,Allix,Chevrolet,20.0,,8/26/2023,Tanzania
,Dana,Chevrolet,9.0,21541.0,4/20/2023,Kenya
,Aguie,,9.0,,7/2/2023,
46.0,Orazio,Chevrolet,19.0,12782.0,9/23/2023,Tanzania
47.0,Raimundo,GMC,15.0,27479.0,1/17/2023,Kenya
48.0,Rodney,,7.0,,7/17/2023,Uganda
49.0,Corney,Kia,11.0,,3/8/2023,
,Kirbie,Volvo,9.0,,10/17/2023,
51.0,Caye,Volkswagen,8.0,12474.0,12/9/2023,Uganda
,Jewel,GMC,7.0,19578.0,8/23/2023,Uganda
53.0,Kathlin,,,11454.0,9/14/2023,Kenya
54.0,Meta,Toyota,,15311.0,6/28/2023,
55.0,Fawne,Dodge,,13830.0,6/26/2023,Tanzania
,Gaston,Lexus,6.0,16297.0,10/28/2023,Uganda
57.0,Waverly,Acura,19.0,24715.0,6/16/2023,
,Jillie,Nissan,17.0,10933.0,12/25/2023,
59.0,Midge,Lexus,13.0,19008.0,10/8/2023,Uganda
60.0,Nerte,Pontiac,,14112.0,5/5/2023,Uganda
61.0,Damara,,8.0,16783.0,10/7/2023,Uganda
,Jeremiah,Pontiac,,,11/16/2023,Uganda
63.0,Delaney,Ford,,18197.0,10/12/2023,Tanzania
64.0,Christa,Toyota,2.0,28496.0,1/23/2023,Tanzania
,Odetta,Lincoln,,23108.0,9/23/2023,Tanzania
66.0,Chrissie,Pontiac,3.0,,4/6/2023,Tanzania
67.0,Colver,Mazda,18.0,,11/7/2023,
68.0,Petr,MINI,19.0,23952.0,9/18/2023,
69.0,Renee,Porsche,10.0,12763.0,6/24/2023,Uganda
70.0,Emanuel,Mercury,,,12/4/2023,Kenya
71.0,Orel,Porsche,,15063.0,4/1/2023,Tanzania
